ts_iso,cash_usd,positions_market_value_usd,total_equity_usd,unrealized_pnl_usd,starting_equity_usd,total_pnl_usd,pnl_pct,open_positions_count
2025-09-14T14:06:47.157909+00:00,1123.94,8876.06,10000.00,0.00,10000.00,0.00,0.000000,5
2025-09-14T14:13:26.124348+00:00,844.77,9189.96,10034.73,26.71,10000.00,34.73,0.003473,5
2025-09-14T14:20:09.144237+00:00,844.77,9164.55,10009.32,1.30,10000.00,9.32,0.000932,5
2025-09-14T14:26:49.717550+00:00,1994.67,7984.35,9979.03,-17.98,10000.00,-20.97,-0.002097,5
2025-09-14T14:33:53.862708+00:00,1994.67,8004.48,9999.15,2.15,10000.00,-0.85,-0.000085,5
2025-09-14T14:57:44.871152+00:00,9243.28,682.85,9926.13,0.96,10000.00,-73.87,-0.007387,1
2025-09-14T15:06:54.851683+00:00,1155.41,8773.29,9928.70,3.53,10000.00,-71.30,-0.007130,4
2025-09-14T15:16:20.085317+00:00,2308.12,7590.96,9899.07,-20.69,10000.00,-100.93,-0.010093,3
2025-09-14T15:26:01.280385+00:00,4620.96,5302.89,9923.85,-0.64,10000.00,-76.15,-0.007615,2
2025-09-14T15:34:53.540944+00:00,653.10,9270.75,9923.85,-0.64,10000.00,-76.15,-0.007615,5
2025-09-14T15:51:45.003452+00:00,289.06,9631.02,9920.09,-6.42,10000.00,-79.91,-0.007991,6
2025-09-14T16:11:15.697991+00:00,1150.59,8746.06,9896.66,-18.54,10000.00,-103.34,-0.010334,4
